,Open,High,Low,Close,Volume,Dividends,Stock Splits,SO2_column_number_density
2018-12-31,6.3825229600591245,6.556902850102479,6.113452872478527,6.288145349139259,3259341.26984127,0.0,0.0,0.00024040704095717682
2019-03-31,5.319485955578906,5.462950551359561,5.196677699876868,5.34885666800327,2689665.573770492,0.0,0.0,0.00033509486440562344
2019-06-30,5.344212601392453,5.438590244342841,5.201396085416935,5.305617756313747,2377012.698412698,0.0,0.0,9.970125146594736e-05
2019-09-30,4.5280983572914675,4.655609270502653,4.3845909103556355,4.50225780531764,2648012.5,0.0,0.0,7.99668046721387e-05
2019-12-31,4.363672313010569,4.481800608952159,4.2766142075308755,4.379976488649845,2371445.3125,0.0,0.0,0.00040590285433441027
2020-03-31,3.4223869132173728,3.497804855639737,3.2637710620014904,3.355701579201606,4318727.419354838,0.0,0.0,0.000502807372543362
2020-06-30,2.518976981484254,2.6158546965912395,2.387723286814573,2.4981951202665056,7775465.079365079,0.0,0.0,0.00018995423280474027
2020-09-30,2.1939873365293954,2.2472066073986494,2.1266172820464737,2.1822975501418114,3574239.0625,0.0,0.0,6.903410602915708e-05
2020-12-31,1.901435223649192,1.9697281630286612,1.8380643183835794,1.8977437261492014,3986684.375,0.0,0.0,0.00029770064750379995
2021-03-31,3.0513254455634793,3.16800137765192,2.947882482316905,3.0600398329437755,4563024.590163934,0.0,0.0,0.00048526663898288346
2021-06-30,3.791200171565528,3.8858903328393084,3.6986975996021063,3.8004191716512046,2514615.873015873,0.0,0.0,0.0001493029419128252
2021-09-30,3.5352359795212718,3.6252165247087,3.431873698802158,3.5178551338613033,2512348.4375,0.0,0.0,7.267503126811035e-05
2021-12-31,3.8024089835057415,3.891620490420247,3.698123858528148,3.7902577966451645,2604535.9375,0.0,0.0,0.0003467208100399799
2022-03-31,4.338675222226668,4.476650370676194,4.197524593958712,4.337246252644446,4292198.387096774,0.0,0.0,0.00044404247484130464
2022-06-30,5.541869300975722,5.75224562916379,5.324030527755414,5.536312210944391,5114674.193548387,0.0,0.0,0.00013951544054150982
2022-09-30,5.355765607438044,5.5691041114317335,5.168113842564597,5.383451908826828,4192103.125,0.0,0.0,7.564559961477066e-05
2022-12-31,6.800347147718433,6.993946361673801,6.578778446890253,6.780659100366017,3135304.761904762,0.0,0.0,0.0004092424320391603
2023-03-31,5.515036379854956,5.657774750018197,5.352609951192115,5.5013817894843315,2965624.193548387,0.0,0.0,0.00044603532774136715
2023-06-30,4.258811637095251,4.332483054081222,4.155449370862681,4.234519131721989,2294682.2580645164,0.0,0.0,0.00014386382728495242
2023-09-30,4.066676581219833,4.147147616000578,3.9919870083934597,4.064801534016927,1982557.142857143,0.0,0.0,7.615085168110522e-05
2023-12-31,3.659027378476914,3.7223793369427995,3.5762902580445575,3.63400922124348,2771369.8412698414,0.00015873015873015873,0.0,0.00039913113463502464
2024-03-31,2.8400606140626516,2.8948015930379665,2.76605666490982,2.823393075192561,2994718.0327868853,0.0001639344262295082,0.0,0.0006940756696997776
2024-06-30,2.317901771624915,2.360297484034095,2.269994947980619,2.3048327423277355,1860698.4126984128,0.00015873015873015873,0.0,0.0001758895368078803
2024-09-30,2.2215427058714052,2.263771812686766,2.178986062618358,2.217322576791048,1386951.5625,0.00015625,0.0,9.88683632770961e-05
2024-12-31,2.3666666746139526,2.432499965031942,2.26583331823349,2.349166671435038,3417586.3333333335,0.0,0.0,0.00024870580136167786
